File Name,Step #,Person-in-charge,Step,Next Step / Reference
,3.4.3.8,Sales Executive,Coordinate with client on a pre-audit review of site for compliance.,3.4.3.9
,3.4.3.9,Sales Executive,Inform client of rectifications to be carried out before Site Audit.,3.4.3.10
,3.4.3.10,Client,Rectify.,3.4.3.11
,3.4.3.11,Sales Executive,Conduct audit review of site.,3.4.3.12
,3.4.3.12,Project Manager,Drafts formal response on behalf of QP.,3.4.3.13
,3.4.3.13,Project Manager,Sends draft letter to QP for execution.,3.4.3.14
,3.4.3.14,Civil Engineer,Receives draft letter.,3.4.3.15
,3.4.3.15,Civil Engineer,Endorses letter.,3.4.3.16
,3.4.3.16,Civil Engineer,Send letter to PM.,3.4.3.17
,3.4.3.17,Project Manager,Receives endorsed letter.,3.4.3.18
,3.4.3.18,Project Manager,Email endorsed letter to SCDF officer.,3.4.3.19
,3.4.3.19,Singapore Civil Defence Force,Receives endorsed letter.,3.4.3.20
,3.4.3.20,Singapore Civil Defence Force,Are the Audit Check findings addressed?,"YES: 3.4.4.1, NO: 3.4.3.21"
,3.4.3.21,Singapore Civil Defence Force,Issues further notification for amendment.,3.4.3.3
,3.4.4,[N/A],STAGE 3.4.4: NOTIFY CLIENT OF APPROVAL (PRE-RI INSPECTION),3.4.4.1
,3.4.4.1,Singapore Civil Defence Force,Issues Notice of Approval.,3.4.4.2
,3.4.4.2,Sales Executive,Sends Notice of Approval to client.,3.4.4.3
,3.4.4.3,Client,Receives Notice of Approval.,3.4.5.1
,3.4.5,[N/A],STAGE 3.4.5: RI INSPECTION,3.4.5.1
,3.4.5.1,Sales Executive,Visit site to check for compliance.,3.4.5.2
,3.4.5.2,Sales Executive,Inform PM of availability for RI Inspection.,3.4.5.3
,3.4.5.3,Project Manager,Coordinates with RI on availability for inspection.,3.4.5.4
,3.4.5.4,Vetter / Registered Inspector,Informs PM on availability.,3.4.5.5
,3.4.5.5,Project Manager,Confirms RI inspection date via email and WA to RI and SE.,3.4.5.6
,3.4.5.6,Sales Executive,Conducts RI inspection with RI.,3.4.5.7
,3.4.5.7,Vetter / Registered Inspector,Has RI issued further comments?,"YES: 3.4.5.8, NO: 3.4.5.14"
,3.4.5.8,Sales Executive,Work with contractor/client to carry out rectification required to address RI's comments.,3.4.5.9
,3.4.5.9,Sales Executive,"Document rectification works (photos, documents/ certificates).",3.4.5.10
,3.4.5.10,Sales Executive,Send consolidated rectification work to PM.,3.4.5.11
,3.4.5.11,Project Manager,Receives and vet consolidated documentation of rectification.,3.4.5.12
,3.4.5.12,Project Manager,Will documentation comply with RI's comments?,"YES: 3.4.5.13, NO: 3.4.5.8"
,3.4.5.13,Project Manager,Submits to RI.,3.4.5.14
,3.4.5.14,Vetter / Registered Inspector,Sends RI Report.,3.4.5.15
,3.4.5.15,Sales Executive,HAs RI sent RI report?,"YES: 3.4.5.17, NO: 3.4.5.16"
,3.4.5.16,Sales Executive,Follows up with RI on report.,3.4.5.15
,3.4.5.17,Sales Executive,Receives RI Report.,"3.4.6.1, 3.4.7.1"
,3.4.6,[N/A],STAGE 3.4.6: SUBMISSION ON CORENET,3.4.6.1
,3.4.6.1,Sales Executive,Sends RI Report to PM.,3.4.6.2
,3.4.6.2,Project Manager,Receives RI Report.,3.4.6.3
,3.4.6.3,Admin,Log onto Corenet.,3.4.6.4
,3.4.6.4,Admin,Request OTP from CE and ME.,3.4.6.5
,3.4.6.5,Mechanical Engineer & Civil Engineer,Send OTP.,3.4.6.6
,3.4.6.6,Admin,Receive OTP.,3.4.6.7
,3.4.6.7,Admin,Prepare Draft Submission.,3.4.6.8
,3.4.6.8,Admin,Verify details of Draft Submission.,3.4.6.9
,3.4.6.9,Admin,Screenshot Submission & attachments.,3.4.6.10
,3.4.6.10,Admin,Submit on Corenet.,3.4.6.11
,3.4.6.11,Admin,Print acknowledgment of submission.,3.4.6.12
,3.4.6.12,Admin,File screenshot of Summary & attachments.,3.4.8.1
,3.4.7,[N/A],STAGE 3.4.7: GENERATE BALANCE INVOICE,3.4.7.1
,3.4.7.1,Admin,Create Balance Invoice.,3.4.7.2
,3.4.7.2,Admin,Send to Client.,3.4.7.3
,3.4.7.3,Client,Receive Balance Invoice.,3.4.7.4
,3.4.7.4,Sales Executive,Has client paid Balance Invoice?,"YES: 3.4.8.2, NO: 3.4.7.5"
,3.4.7.5,Sales Executive,Follow up on payment.,3.4.7.4
,3.4.8,[N/A],STAGE 3.4.8: NOTIFY CLIENT OF FIRE SAFETY CERT ISSUANCE,3.4.8.1
,3.4.8.1,Singapore Civil Defence Force,Issues Notice of Fire Safety Cert.,3.4.8.2
,3.4.8.2,Sales Executive,Sends Notice of Fire Safety Cert to client.,3.4.8.3
,3.4.8.3,Client,Receives Notice of Fire Safety Cert.,END
3.5 Post-Submission to Project Completion - SPF,3.5.1,[N/A],STAGE 3.5.1: RECEIVE REGULATORY NOTIFICATION,3.5.1.1
,3.5.1.1,Singapore Police Force,SPF issues Notification to acknowledge receipt and inform that application is in process/rejected.,3.5.1.2
,3.5.1.2,Singapore Police Force,Is further clarification needed?,"YES: 3.5.1.3, NO: 3.5.4.1"
,3.5.1.3,Singapore Police Force,"If yes, SPF Issues Notification for further clarification.",3.5.1.4
,3.5.1.4,Admin,Receives Notification for clarification.,3.5.2.1
,3.5.2,[N/A],STAGE 3.5.2: COORDINATE ON RECTIFICATIONS,3.5.2.1
,3.5.2.1,Admin,Requests information/ documentation/ clarification from client.,3.5.2.2
,3.5.2.2,Client,Sends SE information/ documentation/ clarification.,3.5.2.3
,3.5.2.3,Sales Executive,Receives information/ documentation/ clarification from client.,3.5.2.4
,3.5.2.4,Client,Has Client given the necessary documents?,"YES: 3.5.2.6, NO: 3.5.2.5"
,3.5.2.5,Sales Executive,Follow up with Client on list of documents.,3.5.2.4
,3.5.2.6,Client,Forwards information/ documentation/ clarification to Admin.,3.5.3.1
,3.5.3,[N/A],STAGE 3.5.3: RESPOND TO REGULATORY NOTIFICATION,3.5.3.1
,3.5.3.1,Admin,Submits via email to SPF.,3.5.4.1
,3.5.4,[N/A],STAGE 3.5.4: RECEIVE ACCEPTANCE BY AUTHORITIES,3.5.4.1
,3.5.4.1,Client,Receives approval & payment instructions from SPF.,3.5.4.2
,3.5.4.2,Client,Forwards email approval & payment instructions to Admin.,3.5.4.3
,3.5.4.3,Admin,Receives forwarded SPF email approval & payment instructions.,3.5.5.1
,3.5.5,[N/A],STAGE 3.5.5: MAKE PAYMENT,3.5.5.1
,3.5.5.1,Admin,Log onto Go Business SG.,3.5.5.2
,3.5.5.2,Admin,Request OTP from MD.,3.5.5.3
,3.5.5.3,Managing Director,Send OTP.,3.5.5.4
,3.5.5.4,Admin,Receive OTP.,3.5.5.5
,3.5.5.5,Admin,Make Payment.,3.5.5.6
,3.5.5.6,Singapore Police Force,Issues email approval.,3.5.5.7
,3.5.5.7,Admin,Screenshots approval email.,3.5.5.8
,3.5.5.8,Admin,Notifies client on SPF approval.,3.5.6.1
,3.5.6,[N/A],STAGE 3.5.6: OBTAIN HARDCOPY LICENCE FROM SPF,3.5.6.1
,3.5.6.1,Client,Did client receive hardcopy licence from SPF?,"YES: 3.5.6.2, NO: 3.5.6.3"
,3.5.6.2,Client,"If yes, Receives hardcopy licence from SPF.",3.5.7.1
,3.5.6.3,Client,"If no, Makes online appointment to go Cantoment branch to pick up hardcopy licence.",3.5.6.4
,3.5.6.4,Client,Goes to Cantoment branch with email confirmation to retrieve hardcopy licence.,3.5.6.5
,3.5.6.5,Client,Pass hardcopy licence to Admin for framing.,3.5.7.4
,3.5.7,[N/A],STAGE 3.5.7: FRAMES LICENCE FOR CLIENT,"3.5.7.1, 3.5.7.4"
,3.5.7.1,Sales Executive,Visits site with empty frame.,3.5.7.2
,3.5.7.2,Sales Executive,Frames licence up in Dyson's frames.,3.5.7.3
,3.5.7.3,Sales Executive,Take photo of licence for record & photo with Client for marketing.,3.5.7.7
,3.5.7.4,Admin,Frames licence up in Dyson's frames.,3.5.7.5
,3.5.7.5,Admin,Passes framed licence to MD.,3.5.7.6
,3.5.7.6,Managing Director,Pass framed licence to Client.,3.5.7.7
,3.5.7.7,Client,Receives licence.,END
3.6 Post-Submission to Project Completion - NEA,3.6.1,[N/A],STAGE 3.6.1: RECEIVE REGULATORY NOTIFICATION,3.6.1.1
,3.6.1.1,National Environment Agency,NEA issues Notification for further clarification.,3.6.1.2
,3.6.1.2,Admin,Receives Notification.,3.6.2.1
,3.6.2,[N/A],STAGE 3.6.2: COORDINATE ON RESPONSE TO QUERIES / RECTIFICATIONS,3.6.2.1
,3.6.2.1,Sales Executive,Requests information/ documentation/ clarification from client.,3.6.2.2
,3.6.2.2,Client,Sends SE information/ documentation/ clarification.,3.6.2.3
,3.6.2.3,Sales Executive,Receives information/ documentation/ clarification from client.,3.6.2.4
,3.6.2.4,Sales Executive,Forwards information/ documentation/ clarification from client.,3.6.3.1
,3.6.3,[N/A],STAGE 3.6.3: RESPOND TO REGULATORY NOTIFICATION,3.6.3.1
,3.6.3.1,Admin,Log onto NEA.,3.6.3.2
,3.6.3.2,Admin,Request OTP from MD.,3.6.3.3
,3.6.3.3,Managing Director,Send OTP.,3.6.3.4
,3.6.3.4,Admin,Receive OTP.,3.6.3.5
,3.6.3.5,Admin,Prepare Draft Submission (& attach documents).,3.6.3.6
,3.6.3.6,Admin,Verify details of Draft Submission.,3.6.3.7
,3.6.3.7,Admin,Print/ Screenshot Summary & attachments.,3.6.3.8
,3.6.3.8,Admin,Submit on NEA.,3.6.3.9
,3.6.3.9,Admin,Print acknowledgment of submission.,3.6.3.10
,3.6.3.10,Admin,File printed Summary & attachments & acknowledgement.,3.6.3.11
,3.6.3.11,National Environment Agency,Further rectifications needed by NEA?,"YES: 3.6.1.1, NO: 3.6.4.1"
,3.6.4,[N/A],STAGE 3.6.4: RECEIVE ACCEPTANCE BY AUTHORITIES,3.6.4.1
,3.6.4.1,National Environment Agency,Sends Approval.,3.6.4.2
,3.6.4.2,Sales Executive,Receives email notification on NEA approval.,3.6.4.3
,3.6.4.3,Sales Executive,Sends email approval to Admin.,3.6.6.1
,3.6.5,[N/A],STAGE 3.6.5: RESPOND TO REJECTION,3.6.5.1
,3.6.5.1,National Environment Agency,Issues Notice.,3.6.5.2
,3.6.5.2,National Environment Agency,"Is the Notice an Approval or a Rejection? (If further advice is needed, to consult MD and/or Admin)","APPROVAL: 3.6.6.1, REJECTION: 3.6.5.3"
,3.6.5.3,Sales Executive,Draft Appeal Letter.,3.6.5.4
,3.6.5.4,Sales Executive,Send Appeal Letter to Admin.,3.6.5.5
,3.6.5.5,Admin,Submit Appeal via portal.,3.6.5.6
,3.6.5.6,National Environment Agency,Receive Appeal.,3.6.5.7
,3.6.5.7,National Environment Agency,Is Appeal successful or further clarification required?,"APPROVED: 3.6.5.8, NOT APPROVED: 3.6.5.9"
,3.6.5.8,National Environment Agency,Issues Notice of Approval.,3.6.6.1
,3.6.5.9,Sales Executive,Receives request for clarification.,3.6.5.10
,3.6.5.10,Sales Executive,Seek clarification from client.,3.6.5.11
,3.6.5.11,Client,Provides clarification.,3.6.5.5
,3.6.6,[N/A],STAGE 3.6.6: NOTIFY CLIENT OF APPROVAL,3.6.6.1
,3.6.6.1,Sales Executive,Sends Notice of Approval to client.,3.6.6.2
,3.6.6.2,Client,Receives Notice of Approval.,END
3.7 Post-Submission to Project Completion - HSA,3.7.1,[N/A],STAGE 3.7.1: RECEIVE REGULATORY NOTIFICATION,3.7.1.1
,3.7.1.1,Health Sciences Authority,HSA issues Notification for further clarification.,3.7.1.2
,3.7.1.2,Admin,Receives Notification.,"3.7.2.1, 3.7.3.1"
,3.7.2,[N/A],STAGE 3.7.2: COORDINATE ON RECTIFICATIONS,3.7.2.1
,3.7.2.1,Client,Was Photos of Premises given earlier?,"YES: 3.7.4.1, NO: 3.7.2.2"
,3.7.2.2,Client,Visits site to take photo of Shop Front and tobacco storage area.,3.7.2.3
,3.7.2.3,Client,Sends site photos to internal group chat.,3.7.4.1
,3.7.3,[N/A],STAGE 3.7.3: COORDINATE ON HSA QUIZ REQUIREMENTS,3.7.3.1
,3.7.3.1,Sales Executive,Informs Client of Quiz Requirement (For submission: Quiz shall be completed by Director for submission. For audit: Quiz to be completed by all staff. Client to be informed that: all new hires have to complete HSA Quiz. Quiz Results should be saved for future audit purposes).,3.7.3.2
,3.7.3.2,Client,Completes Quiz (by Director).,3.7.3.3
,3.7.3.3,Client,Forward Quiz Results to SE.,3.7.3.4
,3.7.3.4,Sales Executive,Receives Quiz Results.,3.7.3.5
,3.7.3.5,Sales Executive,Sends Quiz Results to internal group chat.,3.7.4.1
,3.7.4,[N/A],STAGE 3.7.4: RESPOND TO REGULATORY NOTIFICATION,3.7.4.1
,3.7.4.1,Admin,Reply to HSA with requested documents.,3.7.4.2
,3.7.4.2,Health Sciences Authority,Receives documents.,3.7.4.3
,3.7.4.3,Health Sciences Authority,Further rectifications needed by HSA?,"YES: 3.7.1.1, NO: 3.7.4.4"
,3.7.4.4,Health Sciences Authority,Sends Approval.,3.7.5.1
,3.7.5,[N/A],STAGE 3.7.5: RECEIVE ACCEPTANCE BY AUTHORITIES,3.7.5.1
,3.7.5.1,Sales Executive,Receives email notification on HSA approval.,3.7.5.2
,3.7.5.2,Sales Executive,Sends email approval to Admin.,3.7.5.3
,3.7.5.3,Admin,Receives email approval.,3.7.6.1
,3.7.6,[N/A],STAGE 3.7.6: PAYMENT TO HSA FOR LICENCE ISSUANCE,3.7.6.1
,3.7.6.1,Admin,Log onto Go Business.,3.7.6.2
,3.7.6.2,Admin,Request OTP from MD.,3.7.6.3
,3.7.6.3,Managing Director,Send OTP.,3.7.6.4
,3.7.6.4,Admin,Receive OTP.,3.7.6.5
,3.7.6.5,Admin,Make Payment.,3.7.6.6
,3.7.6.6,Admin,Print receipt of payment.,3.7.6.7
,3.7.6.7,Admin,File printed receipt of payment.,3.7.6.8
,3.7.6.8,Admin,AFTER 2 WORKING DAYS.,3.7.6.9
,3.7.6.9,Admin,Log onto Go Business.,3.7.6.10
,3.7.6.10,Admin,Request OTP from MD.,3.7.6.11
,3.7.6.11,Managing Director,Send OTP.,3.7.6.12
,3.7.6.12,Admin,Receive OTP.,3.7.6.13
,3.7.6.13,Admin,Has licence been issued post-payment?,"YES: 3.7.7.1, NO: Wait 1 working day and retry (3.7.6.9)"
,3.7.7,[N/A],STAGE 3.7.7: FRAMES LICENCE FOR CLIENT,3.7.7.1
,3.7.7.1,Admin,Prints out licence.,3.7.7.2
,3.7.7.2,Admin,Frames licence up in Dyson's frames.,3.7.7.3
,3.7.7.3,Admin,Passes framed licence to SE.,3.7.7.4
,3.7.7.4,Sales Executive,Take photo of licence for record & photo with Client for marketing.,3.7.7.5
,3.7.7.5,Sales Executive,Pass framed licence to Client.,3.7.7.6
,3.7.7.6,Client,Receives licence.,END
3.8 Post-Submission to Project Completion - JTC,3.8.1,[N/A],STAGE 3.8.1: RECEIVE REGULATORY NOTIFICATION,3.8.1.1
,3.8.1.1,JTC Corporation,Issues comments & rectifications required for compliance.,3.8.1.2
,3.8.1.2,Sales Executive,Receives Notification.,3.8.1.3
,3.8.1.3,Sales Executive,Sends PM.,3.8.2.1
,3.8.2,[N/A],STAGE 3.8.2: COORDINATE ON RESPONSE TO REGULATORY NOTIFICATION,3.8.2.1
,3.8.2.1,Project Manager,"Revise floor plan as required by URA (Types of JTC's comments: Sometimes, GFA as submitted does not tally with the approved Main Use of premises. We will need to revise 60:40 ratio to such ratio as required to address JTC's comments. If wall hacking is required, will need to liaise with Civil PE - PM to be accountable. If there is a concern of kitchen exhaust system (too large/too small - design fault, or not sufficient power to extract, or sound issues, or volume issues (CMH), then we will need to instruct freelancer (M&E engineer) to look into JTC's comments - PM to be accountable).",3.8.2.2
,3.8.2.2,Project Manager,Instructs Freelancers on revisions.,3.8.2.3
,3.8.2.3,Freelancers,Receives instructions.,3.8.2.4
,3.8.2.4,Freelancers,Edit floorplan.,3.8.2.5
,3.8.2.5,Freelancers,Send PM.,3.8.2.6
,3.8.2.6,Project Manager,Receives revised Floorplan.,3.8.2.7
,3.8.2.7,Project Manager,Send to SE to forward to client for approval.,3.8.2.8
,3.8.2.8,Sales Executive,Reviews revised Floorplan.,3.8.2.9
,3.8.2.9,Sales Executive,Send revised floor plan to client for approval.,3.8.2.10
,3.8.2.10,Client,Are revision accepted by client?,"YES: 3.8.2.11, NO: 3.8.2.12"
,3.8.2.11,Client,Gives approval.,3.8.2.14
,3.8.2.12,Client,Gives comments.,3.8.2.13
,3.8.2.13,Sales Executive,Takes in Comments.,3.8.2.1
,3.8.2.14,Sales Executive,Informs PM of Approval.,3.8.3.1
,3.8.3,[N/A],STAGE 3.8.3: RESPOND TO REGULATORY NOTIFICATION,3.8.3.1
,3.8.3.1,Sales Executive,Sends such necessary information to PM.,3.8.3.2
,3.8.3.2,Project Manager,"Consolidate all documents for response to JTC (Documents required for submission: 1. Endorsed JTC Form 2. Endorsed Floorplan 3. Such information from SE to respond to JTC's notification, if needed).",3.8.3.3
,3.8.3.3,Admin,Log onto Corenet (Submission is made on ESPro application: https://www.corenet.gov.sg/corenet/eSS/SoftwareDownloads/index.htm).,3.8.3.4
,3.8.3.4,Admin,Request OTP from MD.,3.8.3.5
,3.8.3.5,Managing Director,Send OTP.,3.8.3.6
,3.8.3.6,Admin,Receive OTP.,3.8.3.7
,3.8.3.7,Admin,Prepare Draft Submission.,3.8.3.8
,3.8.3.8,Admin,Verify details of Draft Submission.,3.8.3.9
,3.8.3.9,Admin,Print Summary & attachments.,3.8.3.10
,3.8.3.10,Admin,Submit on Go Business SG.,3.8.3.11
,3.8.3.11,Admin,Print acknowledgment of submission.,3.8.3.12
,3.8.3.12,Admin,File printed Summary & attachments.,3.8.4.1
,3.8.4,[N/A],STAGE 3.8.4: RECEIVE ACCEPTANCE / FURTHER OBJECTIONS BY AUTHORITIES,3.8.4.1
,3.8.4.1,JTC Corporation,Is response / rectifications acceptable?,"YES: 3.8.4.6, NO: 3.8.4.2"
,3.8.4.2,JTC Corporation,Issues comments & rectifications required for compliance.,3.8.4.3
,3.8.4.3,Sales Executive,Receives Notification.,3.8.4.4
,3.8.4.4,Sales Executive,Checks with MD if uncertain of scope of business plans.,3.8.4.5
,3.8.4.5,Managing Director,Guides SE on response.,3.8.3.1
,3.8.4.6,JTC Corporation,Issues Written Permission to start work (general email).,3.8.4.7
,3.8.4.7,Project Manager,Receives Written Permission.,3.8.4.8
,3.8.4.8,Project Manager,Informs SE.,3.8.4.9
,3.8.4.9,Sales Executive,Receives Written Permission.,3.8.4.10
,3.8.4.10,Sales Executive,Informs Clients.,3.8.4.11
,3.8.4.11,Client,Receives Written Permission to start work.,END
